username,ip_address,timestamp,location,device,login_status
agent_smith,10.1.1.25,2024-01-15 08:00:15,Washington DC,Chrome/Windows,success
analyst_jones,10.1.1.33,2024-01-15 08:30:30,Washington DC,Firefox/Windows,success
director_brown,192.168.10.5,2024-01-15 07:45:22,Washington DC,Edge/Windows,success
classified_access,203.0.113.88,2024-01-15 03:15:45,North Korea,Chrome/Linux,failed
classified_access,203.0.113.88,2024-01-15 03:15:50,North Korea,Chrome/Linux,failed
classified_access,203.0.113.88,2024-01-15 03:15:55,North Korea,Chrome/Linux,failed
field_agent,172.16.5.12,2024-01-15 12:30:18,New York,Secure/Mobile,success
tech_support,10.1.1.99,2024-01-15 09:15:45,Washington DC,Chrome/Windows,success
contractor_ext,198.51.100.156,2024-01-15 22:30:22,Pakistan,Firefox/Linux,success
security_chief,192.168.10.10,2024-01-15 06:00:15,Washington DC,Secure/Terminal,success
external_audit,203.0.113.199,2024-01-15 01:45:30,Russia,Chrome/Windows,failed
external_audit,203.0.113.199,2024-01-15 01:45:35,Russia,Chrome/Windows,failed
junior_analyst,10.1.1.67,2024-01-15 14:20:45,Washington DC,Chrome/Windows,success
field_agent,172.16.5.12,2024-01-15 18:45:22,Miami,Secure/Mobile,success
admin_sys,10.1.1.5,2024-01-15 07:00:30,Washington DC,System/Automated,success
intelligence_ai,192.168.10.88,2024-01-15 00:15:45,Washington DC,AI/Automated,success
guest_researcher,203.0.113.234,2024-01-15 02:30:15,Iran,Chrome/Linux,failed
data_science,10.1.1.55,2024-01-15 13:45:18,Washington DC,Python/Jupyter,success
backup_admin,172.16.5.33,2024-01-15 03:00:00,Backup Site,System/Automated,success
cyber_defense,192.168.10.77,2024-01-15 16:30:45,Washington DC,Security/Tools,success
