username,ip_address,timestamp,location,device,login_status
dr_martinez,192.168.2.15,2024-01-15 07:00:15,Chicago,Chrome/Windows,success
nurse_johnson,192.168.2.23,2024-01-15 07:15:30,Chicago,Firefox/macOS,success
patient_portal,203.0.113.45,2024-01-15 23:30:45,Romania,Chrome/Linux,failed
patient_portal,203.0.113.45,2024-01-15 23:30:50,Romania,Chrome/Linux,failed
patient_portal,203.0.113.45,2024-01-15 23:30:55,Romania,Chrome/Linux,failed
dr_patel,172.16.1.8,2024-01-15 08:30:22,Boston,Safari/iPad,success
admin_health,10.0.2.100,2024-01-15 06:45:18,Chicago,Chrome/Windows,success
dr_martinez,198.51.100.88,2024-01-15 22:15:45,Mumbai,Chrome/Android,success
billing_dept,192.168.2.45,2024-01-15 09:00:33,Chicago,Edge/Windows,success
nurse_smith,172.16.1.12,2024-01-15 14:30:15,Boston,Chrome/Windows,success
emergency_access,203.0.113.77,2024-01-15 03:45:22,Unknown,Script/Automated,failed
emergency_access,203.0.113.77,2024-01-15 03:45:27,Unknown,Script/Automated,failed
dr_kim,192.168.2.33,2024-01-15 16:20:45,Chicago,Chrome/Windows,success
patient_john,10.0.2.55,2024-01-15 10:15:30,Chicago,Chrome/Android,success
dr_patel,203.0.113.156,2024-01-15 01:30:15,Iran,Firefox/Linux,success
lab_tech,192.168.2.67,2024-01-15 11:45:22,Chicago,Chrome/Windows,success
nurse_johnson,192.168.2.23,2024-01-15 19:30:45,Chicago,Firefox/macOS,success
pharmacy_sys,10.0.2.88,2024-01-15 08:15:18,Chicago,System/Automated,success
dr_martinez,192.168.2.15,2024-01-15 20:00:33,Chicago,Chrome/Windows,success
maintenance,203.0.113.99,2024-01-16 02:00:00,Unknown,Script/Bot,failed
