username,ip_address,timestamp,location,device,login_status
dev_alex,10.0.3.25,2024-01-15 09:30:15,Seattle,Chrome/macOS,success
designer_sam,10.0.3.33,2024-01-15 10:15:30,Seattle,Firefox/macOS,success
ceo_admin,192.168.3.10,2024-01-15 08:00:45,Seattle,Safari/macOS,success
hacker_attempt,203.0.113.234,2024-01-15 02:30:15,China,Script/Bot,failed
hacker_attempt,203.0.113.234,2024-01-15 02:30:20,China,Script/Bot,failed
hacker_attempt,203.0.113.234,2024-01-15 02:30:25,China,Script/Bot,failed
hacker_attempt,203.0.113.234,2024-01-15 02:30:30,China,Script/Bot,failed
hacker_attempt,203.0.113.234,2024-01-15 02:30:35,China,Script/Bot,failed
hacker_attempt,203.0.113.234,2024-01-15 02:30:40,China,Script/Bot,failed
hacker_attempt,203.0.113.234,2024-01-15 02:30:45,China,Script/Bot,failed
pm_jessica,172.16.2.15,2024-01-15 11:45:22,Austin,Chrome/Windows,success
dev_mike,10.0.3.44,2024-01-15 14:30:18,Seattle,VS Code/Integrated,success
qa_tester,192.168.3.55,2024-01-15 15:15:45,Seattle,Chrome/Linux,success
dev_alex,198.51.100.199,2024-01-15 23:45:30,Russia,Chrome/Linux,success
intern_bob,10.0.3.77,2024-01-15 16:30:22,Seattle,Chrome/Windows,success
devops_user,172.16.2.33,2024-01-15 12:00:15,Austin,Terminal/SSH,success
designer_sam,203.0.113.123,2024-01-15 01:15:45,Ukraine,Firefox/Linux,success
sales_lead,192.168.3.88,2024-01-15 13:45:30,Seattle,Chrome/Windows,success
cto_admin,10.0.3.5,2024-01-15 07:30:15,Seattle,Chrome/macOS,success
bot_scanner,203.0.113.77,2024-01-15 04:15:22,Unknown,Nmap/Scanner,failed
